"Drug_name1","Drug_name2","OR","95.CI","Pvalue","ac"
"OXYCODONE, VARENICLINE","VARENICLINE",2.89,"(2.38, 3.49)","1.85e-22",1790
"OMEPRAZOLE, LANSOPRAZOLE","LANSOPRAZOLE",2.89,"(2.56, 3.25)","3.47e-58",3261
"SALBUTAMOL, CALCIUM","SALBUTAMOL",2.89,"(2.54, 3.27)","2.60e-49",3911
"DIPHENHYDRAMINE, FENTANYL","DIPHENHYDRAMINE",2.89,"(2.45, 3.39)","1.27e-31",1392
"SENNA, FENTANYL","FENTANYL",2.88,"(2.33, 3.54)","1.24e-19",2767
"POTASSIUM, FENTANYL","POTASSIUM",2.88,"(2.46, 3.37)","2.89e-33",2065
"PREGABALIN, QUETIAPINE","QUETIAPINE",2.88,"(2.33, 3.54)","5.07e-19",2018
"FENTANYL, FOLIC ACID","FENTANYL",2.88,"(2.48, 3.34)","6.36e-36",2767
"LORATADINE, OXYCODONE","OXYCODONE",2.88,"(2.45, 3.37)","2.21e-32",4418
"MORPHINE, PROCHLORPERAZINE","MORPHINE",2.88,"(2.49, 3.32)","2.06e-40",2024
"ROSIGLITAZONE, EZETIMIBE","ROSIGLITAZONE",2.88,"(2.29, 3.59)","1.07e-16",1247
"METOCLOPRAMIDE, BEVACIZUMAB","BEVACIZUMAB",2.88,"(2.06, 3.94)","3.80e-09",525
"METOPROLOL, SEVELAMER","METOPROLOL",2.88,"(2.47, 3.35)","1.02e-34",6198
"TRASTUZUMAB, CAPECITABINE","CAPECITABINE",2.88,"(2.21, 3.7)","1.57e-13",598
"AMOXICILLIN, AZITHROMYCIN","AMOXICILLIN",2.88,"(2.47, 3.34)","1.46e-36",1746
"OXYCODONE, SALBUTAMOL","SALBUTAMOL",2.88,"(2.62, 3.15)","4.42e-95",3911
"NITROGLYCERIN, GABAPENTIN","NITROGLYCERIN",2.88,"(2.48, 3.33)","1.93e-39",1377
"VITAMIN E, AMLODIPINE","AMLODIPINE",2.88,"(2.41, 3.42)","3.60e-27",6244
"ATENOLOL, ROSIGLITAZONE","ROSIGLITAZONE",2.88,"(2.29, 3.58)","3.85e-17",1247
"POTASSIUM CHLORIDE, SODIUM CHLORIDE","SODIUM CHLORIDE",2.88,"(2.21, 3.73)","1.04e-14",275
"BEVACIZUMAB, GEMCITABINE","BEVACIZUMAB",2.88,"(2.16, 3.77)","8.80e-12",525
"ZOLPIDEM, CALCIUM","ZOLPIDEM",2.88,"(2.47, 3.33)","5.61e-37",3296
"PANTOPRAZOLE, FAMOTIDINE","PANTOPRAZOLE",2.88,"(2.42, 3.41)","5.16e-28",3314
"RITUXIMAB, LEVOTHYROXINE","RITUXIMAB",2.88,"(2, 4.03)","4.28e-08",436
"NAPROXEN, PANTOPRAZOLE","PANTOPRAZOLE",2.87,"(2.46, 3.34)","4.88e-35",3314
"WARFARIN, FENTANYL","FENTANYL",2.87,"(2.52, 3.27)","2.78e-47",2767
"CONJUGATED ESTROGENS, HYDROCHLOROTHIAZIDE","CONJUGATED ESTROGENS",2.87,"(2.48, 3.32)","4.00e-37",1917
"DIPHENHYDRAMINE, GABAPENTIN","DIPHENHYDRAMINE",2.87,"(2.44, 3.37)","8.76e-32",1392
"VITAMIN D, DULOXETINE","DULOXETINE",2.87,"(2.45, 3.35)","2.30e-33",2135
"RANITIDINE, CIPROFLOXACIN","RANITIDINE",2.87,"(2.41, 3.4)","4.11e-28",2172
"OXYCODONE, SERTRALINE","OXYCODONE",2.87,"(2.59, 3.17)","2.45e-77",4418
"VARENICLINE, FUROSEMIDE","VARENICLINE",2.87,"(2.27, 3.59)","5.30e-16",1790
"MORPHINE, BACLOFEN","MORPHINE",2.87,"(2.36, 3.46)","6.73e-23",2024
"OMEPRAZOLE, HEPARIN","HEPARIN",2.87,"(2.38, 3.44)","2.53e-25",860
"GABAPENTIN, LIDOCAINE","GABAPENTIN",2.87,"(2.49, 3.3)","1.08e-40",4852
"ROSUVASTATIN, SALBUTAMOL","SALBUTAMOL",2.87,"(2.48, 3.31)","1.67e-38",3911
"DIAZEPAM, DULOXETINE","DULOXETINE",2.87,"(2.44, 3.36)","6.83e-32",2135
"SERTRALINE, WARFARIN","WARFARIN",2.87,"(2.52, 3.25)","3.29e-49",4188
"MORPHINE, POTASSIUM","POTASSIUM",2.87,"(2.43, 3.37)","2.80e-31",2065
"MAGNESIUM, WARFARIN","WARFARIN",2.87,"(2.4, 3.4)","1.01e-26",4188
"MORPHINE, AMITRIPTYLINE","MORPHINE",2.87,"(2.47, 3.31)","1.62e-38",2024
"RABEPRAZOLE, CELECOXIB","CELECOXIB",2.87,"(2.34, 3.48)","2.02e-21",2493
"CYCLOBENZAPRINE, IBUPROFEN","IBUPROFEN",2.87,"(2.5, 3.27)","4.43e-44",3510
"NAPROXEN, CITALOPRAM","CITALOPRAM",2.87,"(2.4, 3.41)","1.15e-26",2294
"GABAPENTIN, INSULIN GLARGINE","INSULIN GLARGINE",2.86,"(2.44, 3.35)","8.65e-33",1579
"ZOLEDRONATE, LETROZOLE","LETROZOLE",2.86,"(2.45, 3.34)","2.61e-41",757
"LORAZEPAM, IBUPROFEN","LORAZEPAM",2.86,"(2.55, 3.2)","5.25e-62",3224
"AMPHETAMINE, DEXTROAMPHETAMINE","AMPHETAMINE",2.86,"(1.62, 5.5)","5.13e-05",205
"NAPROXEN, CALCIUM","NAPROXEN",2.86,"(2.36, 3.44)","1.95e-23",2071
"IRON, AMITRIPTYLINE","IRON",2.86,"(2.35, 3.46)","7.58e-23",1796
"ROSUVASTATIN, SIMVASTATIN","ROSUVASTATIN",2.86,"(2.54, 3.22)","1.16e-58",7579
"DIAZEPAM, ESOMEPRAZOLE","ESOMEPRAZOLE",2.86,"(2.48, 3.28)","8.94e-41",4163
"ACETAMINOPHEN, LEUPROLIDE","LEUPROLIDE",2.86,"(2.37, 3.43)","9.32e-26",786
"POTASSIUM CHLORIDE, AZITHROMYCIN","AZITHROMYCIN",2.86,"(2.39, 3.41)","4.21e-27",1267
"ACETAMINOPHEN, CEFUROXIME","CEFUROXIME",2.86,"(2.19, 3.72)","6.09e-15",257
"FLUTICASONE PROPIONATE, GABAPENTIN","FLUTICASONE PROPIONATE",2.86,"(2.56, 3.19)","5.98e-65",3257
"PANTOPRAZOLE, TAZOBACTAM","TAZOBACTAM",2.86,"(2.13, 3.79)","1.13e-11",262
"CLARITHROMYCIN, LANSOPRAZOLE","LANSOPRAZOLE",2.86,"(2.44, 3.33)","4.08e-33",3261
"LORAZEPAM, WARFARIN","WARFARIN",2.85,"(2.56, 3.17)","5.26e-68",4188
"RALOXIFENE, TERIPARATIDE","TERIPARATIDE",2.85,"(2.48, 3.27)","5.24e-43",4334
"NAPROXEN, OXYCODONE","OXYCODONE",2.85,"(2.54, 3.2)","4.19e-60",4418
"PAROXETINE, SIMVASTATIN","PAROXETINE",2.85,"(2.5, 3.25)","8.36e-47",2819
"TEMAZEPAM, ESOMEPRAZOLE","ESOMEPRAZOLE",2.85,"(2.36, 3.43)","3.35e-23",4163
"POTASSIUM, IPRATROPIUM BROMIDE","IPRATROPIUM BROMIDE",2.85,"(2.35, 3.44)","2.54e-23",1215
"RANITIDINE, HYDROCODONE","RANITIDINE",2.85,"(2.52, 3.22)","5.38e-54",2172
"OXYCODONE, HYDROMORPHONE","OXYCODONE",2.85,"(2.55, 3.19)","4.80e-63",4418
"CIPROFLOXACIN, ESOMEPRAZOLE","ESOMEPRAZOLE",2.85,"(2.46, 3.3)","1.31e-36",4163
"CYCLOBENZAPRINE, GABAPENTIN","GABAPENTIN",2.85,"(2.57, 3.16)","2.24e-76",4852
"METOCLOPRAMIDE, DIPHENHYDRAMINE","METOCLOPRAMIDE",2.85,"(2.31, 3.49)","1.01e-19",1439
"ZOLPIDEM, ACYCLOVIR","ACYCLOVIR",2.85,"(2.35, 3.45)","5.69e-23",951
"POTASSIUM, PREDNISOLONE","PREDNISOLONE",2.85,"(2.32, 3.47)","2.08e-20",2184
"METFORMIN, METOCLOPRAMIDE","METFORMIN",2.85,"(2.42, 3.34)","9.54e-31",4985
"PREDNISONE, ESCITALOPRAM","PREDNISONE",2.85,"(2.49, 3.26)","8.08e-43",4984
"QUETIAPINE, WARFARIN","QUETIAPINE",2.85,"(2.24, 3.58)","2.38e-15",2018
"PANTOPRAZOLE, DIAZEPAM","PANTOPRAZOLE",2.85,"(2.46, 3.28)","1.49e-38",3314
"ROFECOXIB, FOLIC ACID","ROFECOXIB",2.85,"(2.34, 3.44)","3.81e-22",2529
"PREDNISONE, CLAVULANATE","PREDNISONE",2.85,"(2.4, 3.37)","1.56e-27",4984
"ZOLEDRONATE, LEVOTHYROXINE","ZOLEDRONATE",2.85,"(2.57, 3.15)","7.48e-77",4579
"RANITIDINE, FENTANYL","FENTANYL",2.85,"(2.43, 3.33)","2.45e-32",2767
"VITAMIN D, ZOLPIDEM","ZOLPIDEM",2.85,"(2.5, 3.24)","2.11e-46",3296
"METOCLOPRAMIDE, PREDNISONE","METOCLOPRAMIDE",2.85,"(2.42, 3.34)","4.95e-31",1439
"CYCLOSPORINE, LEVOTHYROXINE","CYCLOSPORINE",2.85,"(2.31, 3.48)","4.12e-20",1408
"TACROLIMUS, FUROSEMIDE","TACROLIMUS",2.85,"(2.26, 3.56)","4.98e-17",554
"FLUOXETINE, HYDROCODONE","FLUOXETINE",2.85,"(2.52, 3.21)","8.21e-56",2050
"NITROGLYCERIN, ROFECOXIB","ROFECOXIB",2.85,"(2.28, 3.52)","1.59e-17",2529
"SODIUM CHLORIDE, DEXAMETHASONE","SODIUM CHLORIDE",2.85,"(2.17, 3.72)","1.63e-13",275
"RANITIDINE, ACYCLOVIR","ACYCLOVIR",2.85,"(2.3, 3.5)","1.69e-19",951
"SERTRALINE, IPRATROPIUM BROMIDE","IPRATROPIUM BROMIDE",2.84,"(2.32, 3.46)","3.44e-21",1215
"TIOTROPIUM, CLOPIDOGREL","TIOTROPIUM",2.84,"(2.35, 3.42)","3.35e-23",1251
"ESOMEPRAZOLE, GABAPENTIN","ESOMEPRAZOLE",2.84,"(2.58, 3.13)","2.84e-83",4163
"PROMETHAZINE, CIPROFLOXACIN","CIPROFLOXACIN",2.84,"(2.4, 3.36)","3.69e-29",2140
"METOCLOPRAMIDE, AMLODIPINE","METOCLOPRAMIDE",2.84,"(2.41, 3.34)","6.66e-30",1439
"EXENATIDE, FENOFIBRATE","EXENATIDE",2.84,"(2.06, 3.83)","1.47e-09",791
"AZITHROMYCIN, CEFTRIAXONE","CEFTRIAXONE",2.84,"(2.27, 3.53)","2.85e-18",597
"HYDROCODONE, IPRATROPIUM BROMIDE","IPRATROPIUM BROMIDE",2.84,"(2.44, 3.3)","6.77e-37",1215
"OXYCODONE, BUDESONIDE","BUDESONIDE",2.84,"(2.26, 3.53)","5.36e-17",1317
"OXYCODONE, VALACICLOVIR","OXYCODONE",2.84,"(2.38, 3.37)","3.92e-27",4418
"FUROSEMIDE, GEMFIBROZIL","FUROSEMIDE",2.84,"(2.41, 3.32)","6.60e-31",6619
"TIOTROPIUM, FOLIC ACID","TIOTROPIUM",2.84,"(2.23, 3.58)","4.08e-15",1251
"CELECOXIB, IBUPROFEN","IBUPROFEN",2.84,"(2.48, 3.24)","2.80e-43",3510
"OMEPRAZOLE, LANSOPRAZOLE","OMEPRAZOLE",2.84,"(2.53, 3.18)","1.94e-58",6244
"OXYCODONE, LACTULOSE","LACTULOSE",2.84,"(2.3, 3.48)","4.94e-21",503
"ZOLPIDEM, IBUPROFEN","IBUPROFEN",2.84,"(2.52, 3.18)","6.94e-57",3510
"ACETAMINOPHEN, ERYTHROMYCIN","ACETAMINOPHEN",2.84,"(2.36, 3.39)","3.89e-24",10717
"CITALOPRAM, FENTANYL","CITALOPRAM",2.83,"(2.44, 3.28)","4.00e-36",2294
"AMOXICILLIN, PREDNISONE","AMOXICILLIN",2.83,"(2.49, 3.22)","1.94e-48",1746
"ACETAMINOPHEN, ACYCLOVIR","ACYCLOVIR",2.83,"(2.46, 3.26)","7.02e-45",951
"CYCLOSPORINE, FOLIC ACID","CYCLOSPORINE",2.83,"(2.27, 3.51)","1.48e-17",1408
"GABAPENTIN, IBUPROFEN","IBUPROFEN",2.83,"(2.54, 3.15)","9.04e-67",3510
"AMOXICILLIN, SERTRALINE","AMOXICILLIN",2.83,"(2.36, 3.39)","5.64e-25",1746
"PROCHLORPERAZINE, DEXAMETHASONE","DEXAMETHASONE",2.83,"(2.53, 3.17)","2.78e-61",2534
"LORAZEPAM, CIPROFLOXACIN","LORAZEPAM",2.83,"(2.47, 3.24)","7.87e-42",3224
"OXYCODONE, VITAMIN D","OXYCODONE",2.83,"(2.53, 3.17)","1.76e-61",4418
"OXYCODONE, ROSUVASTATIN","OXYCODONE",2.83,"(2.39, 3.34)","6.94e-29",4418
"NAPROXEN, ZOLPIDEM","ZOLPIDEM",2.83,"(2.46, 3.25)","4.84e-41",3296
"PROMETHAZINE, CITALOPRAM","CITALOPRAM",2.83,"(2.34, 3.41)","6.78e-23",2294
"POTASSIUM CHLORIDE, TERIPARATIDE","POTASSIUM CHLORIDE",2.83,"(2.35, 3.39)","1.73e-24",2515
"SIMVASTATIN, EPOETIN ALFA","EPOETIN ALFA",2.83,"(2.42, 3.3)","8.55e-35",1355
"METHADONE, OXYCODONE","METHADONE",2.83,"(2.39, 3.34)","2.58e-31",686
"CITALOPRAM, FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE",2.83,"(2.43, 3.28)","7.08e-35",3257
"SERTRALINE, FLUOXETINE","FLUOXETINE",2.83,"(2.42, 3.3)","2.48e-33",2050
"PROCHLORPERAZINE, FOLIC ACID","FOLIC ACID",2.83,"(2.31, 3.43)","6.20e-21",2656
"ATORVASTATIN, ESTRADIOL","ESTRADIOL",2.83,"(2.31, 3.43)","1.26e-21",1051
"DEXAMETHASONE, ENOXAPARIN","ENOXAPARIN",2.82,"(2.4, 3.32)","1.64e-31",938
"POTASSIUM, CITALOPRAM","CITALOPRAM",2.82,"(2.33, 3.4)","5.43e-23",2294
"VARENICLINE, CITALOPRAM","VARENICLINE",2.82,"(2.19, 3.6)","9.95e-14",1790
"OLANZAPINE, GABAPENTIN","OLANZAPINE",2.82,"(2.32, 3.42)","1.35e-21",1240
"WARFARIN, DIAZEPAM","WARFARIN",2.82,"(2.38, 3.33)","3.83e-28",4188
"DIAZEPAM, FOLIC ACID","FOLIC ACID",2.82,"(2.32, 3.4)","5.43e-22",2656
"DULOXETINE, GABAPENTIN","DULOXETINE",2.82,"(2.52, 3.15)","1.26e-65",2135
"METOPROLOL, CALCIUM ACETATE","METOPROLOL",2.82,"(2.39, 3.32)","3.74e-29",6198
"AMOXICILLIN, SERTRALINE","SERTRALINE",2.82,"(2.35, 3.36)","2.24e-25",3054
"ATENOLOL, LEVOFLOXACIN","ATENOLOL",2.82,"(2.36, 3.35)","1.66e-26",4333
"AMOXICILLIN, FOLIC ACID","FOLIC ACID",2.82,"(2.32, 3.4)","2.83e-22",2656
"POTASSIUM CHLORIDE, DIAZEPAM","POTASSIUM CHLORIDE",2.82,"(2.39, 3.31)","2.30e-30",2515
"NYSTATIN, PANTOPRAZOLE","PANTOPRAZOLE",2.82,"(2.37, 3.33)","9.44e-28",3314
"SALBUTAMOL, TEMAZEPAM","SALBUTAMOL",2.82,"(2.41, 3.28)","3.05e-32",3911
"DEXAMETHASONE, LENALIDOMIDE","LENALIDOMIDE",2.82,"(2.49, 3.18)","1.37e-60",1107
"ESOMEPRAZOLE, FLUOXETINE","FLUOXETINE",2.82,"(2.43, 3.25)","2.97e-38",2050
"QUETIAPINE, IBUPROFEN","QUETIAPINE",2.82,"(2.3, 3.43)","6.05e-20",2018
"HYDROCODONE, LEVOFLOXACIN","LEVOFLOXACIN",2.82,"(2.54, 3.12)","8.42e-75",2880
"OMEPRAZOLE, EPOETIN ALFA","OMEPRAZOLE",2.82,"(2.45, 3.22)","1.70e-41",6244
"CYCLOBENZAPRINE, AMITRIPTYLINE","AMITRIPTYLINE",2.82,"(2.41, 3.28)","2.16e-33",2093
"LORAZEPAM, METHYLPREDNISOLONE","LORAZEPAM",2.81,"(2.34, 3.36)","1.83e-24",3224
"AZITHROMYCIN, FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE",2.81,"(2.4, 3.28)","2.45e-32",3257
"IBUPROFEN, LEVOFLOXACIN","LEVOFLOXACIN",2.81,"(2.45, 3.22)","1.11e-43",2880
"LORAZEPAM, LEVOFLOXACIN","LORAZEPAM",2.81,"(2.46, 3.2)","1.60e-45",3224
"AMOXICILLIN, METOPROLOL","AMOXICILLIN",2.81,"(2.4, 3.28)","2.47e-33",1746
"RANITIDINE, HEPARIN","HEPARIN",2.81,"(2.2, 3.55)","1.02e-14",860
"ALPRAZOLAM, FENTANYL","FENTANYL",2.81,"(2.51, 3.15)","1.68e-59",2767
"LORAZEPAM, AMITRIPTYLINE","LORAZEPAM",2.81,"(2.45, 3.21)","7.02e-43",3224
"TRIMETHOPRIM, LENALIDOMIDE","LENALIDOMIDE",2.81,"(2.23, 3.5)","2.09e-16",1107
"ALPRAZOLAM, HYDROXYZINE","HYDROXYZINE",2.81,"(2.32, 3.38)","1.06e-23",786
"DIPHENHYDRAMINE, ALPRAZOLAM","DIPHENHYDRAMINE",2.81,"(2.38, 3.3)","5.36e-30",1392
"METOPROLOL, AZITHROMYCIN","AZITHROMYCIN",2.81,"(2.37, 3.31)","1.09e-29",1267
"POTASSIUM CHLORIDE, CELECOXIB","CELECOXIB",2.81,"(2.39, 3.28)","4.82e-31",2493
"GADODIAMIDE, GADOVERSETAMIDE","GADODIAMIDE",2.81,"(2.3, 3.43)","5.40e-27",537
"CEPHALEXIN, LEVOFLOXACIN","LEVOFLOXACIN",2.81,"(2.38, 3.29)","4.21e-31",2880
"SALBUTAMOL, DEXAMETHASONE","DEXAMETHASONE",2.81,"(2.43, 3.22)","5.67e-39",2534
"ACETAMINOPHEN, FINASTERIDE","FINASTERIDE",2.8,"(2.26, 3.46)","2.14e-19",557
"LORAZEPAM, EZETIMIBE","LORAZEPAM",2.8,"(2.35, 3.33)","8.12e-26",3224
"ALPRAZOLAM, HYDROMORPHONE","HYDROMORPHONE",2.8,"(2.35, 3.33)","3.14e-28",951
"TRAZODONE, CELECOXIB","TRAZODONE",2.8,"(2.35, 3.32)","4.57e-27",1647
"ZOLPIDEM, CLONIDINE","CLONIDINE",2.8,"(2.32, 3.37)","2.14e-23",1140
"BUDESONIDE, LANSOPRAZOLE","BUDESONIDE",2.8,"(2.29, 3.41)","3.48e-20",1317
"TRIMETHOPRIM, LEVOFLOXACIN","TRIMETHOPRIM",2.8,"(2.38, 3.28)","2.85e-31",1614
"ZOLEDRONATE, FAMOTIDINE","ZOLEDRONATE",2.8,"(2.42, 3.23)","4.70e-38",4579
"PAMIDRONATE, ZOLEDRONATE","PAMIDRONATE",2.8,"(2.47, 3.17)","1.14e-68",1561
"METOCLOPRAMIDE, HEPARIN","HEPARIN",2.8,"(2.23, 3.48)","8.41e-17",860
"CELECOXIB, FUROSEMIDE","CELECOXIB",2.8,"(2.49, 3.14)","3.87e-56",2493
"PAROXETINE, ATORVASTATIN","PAROXETINE",2.8,"(2.47, 3.17)","2.27e-49",2819
"PAROXETINE, DIGOXIN","PAROXETINE",2.8,"(2.27, 3.42)","3.20e-19",2819
"WARFARIN, CODEINE","CODEINE",2.8,"(2.28, 3.41)","9.48e-21",911
"WARFARIN, CITALOPRAM","WARFARIN",2.8,"(2.43, 3.21)","1.40e-39",4188
"PANTOPRAZOLE, FLUOXETINE","PANTOPRAZOLE",2.8,"(2.4, 3.25)","1.86e-34",3314
"OMEPRAZOLE, HYDROMORPHONE","HYDROMORPHONE",2.8,"(2.38, 3.28)","1.03e-32",951
"CITALOPRAM, ESOMEPRAZOLE","ESOMEPRAZOLE",2.8,"(2.44, 3.2)","5.72e-41",4163
"DEXAMETHASONE, LISINOPRIL","DEXAMETHASONE",2.8,"(2.42, 3.22)","1.57e-38",2534
"ZOLPIDEM, ESCITALOPRAM","ESCITALOPRAM",2.8,"(2.49, 3.13)","8.23e-60",2158
"ACETYLSALICYLIC ACID, GEMCITABINE","GEMCITABINE",2.8,"(2.11, 3.66)","8.48e-12",510
"SEVELAMER, AMLODIPINE","AMLODIPINE",2.8,"(2.38, 3.27)","4.57e-31",6244
"METOCLOPRAMIDE, ACETYLSALICYLIC ACID","METOCLOPRAMIDE",2.8,"(2.45, 3.18)","1.47e-46",1439
"SIMVASTATIN, CIPROFLOXACIN","CIPROFLOXACIN",2.8,"(2.43, 3.2)","4.57e-42",2140
"ACETAMINOPHEN, LENALIDOMIDE","LENALIDOMIDE",2.79,"(2.38, 3.27)","2.10e-31",1107
"ZOLPIDEM, DIPHENHYDRAMINE","DIPHENHYDRAMINE",2.79,"(2.4, 3.24)","4.17e-35",1392
"NITROGLYCERIN, FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE",2.79,"(2.37, 3.27)","6.04e-30",3257
"METOPROLOL, HYDROMORPHONE","METOPROLOL",2.79,"(2.39, 3.25)","6.14e-33",6198
"NAPROXEN, VENLAFAXINE","VENLAFAXINE",2.79,"(2.3, 3.37)","2.86e-22",2370
"DIAZEPAM, ALPRAZOLAM","DIAZEPAM",2.79,"(2.48, 3.15)","1.44e-54",2427
"ONDANSETRON, FENTANYL","FENTANYL",2.79,"(2.47, 3.15)","8.80e-52",2767
"OMEPRAZOLE, CELECOXIB","CELECOXIB",2.79,"(2.49, 3.13)","1.15e-57",2493
"ZOLEDRONATE, CALCIUM","ZOLEDRONATE",2.79,"(2.53, 3.08)","1.41e-81",4579
"NEVIRAPINE, ABACAVIR","NEVIRAPINE",2.79,"(2.04, 3.79)","3.21e-10",209
"SULFAMETHOXAZOLE, VINCRISTINE","VINCRISTINE",2.79,"(2.16, 3.57)","1.59e-13",554
"QUINAPRIL, ACETAMINOPHEN","QUINAPRIL",2.79,"(2.31, 3.36)","9.52e-25",637
"AMOXICILLIN, ALPRAZOLAM","AMOXICILLIN",2.79,"(2.36, 3.29)","2.03e-28",1746
"PREGABALIN, ATENOLOL","PREGABALIN",2.79,"(2.42, 3.21)","3.32e-38",3495
"NAPROXEN, PREDNISOLONE","NAPROXEN",2.79,"(2.25, 3.43)","2.99e-18",2071
"MORPHINE, FLUOXETINE","FLUOXETINE",2.79,"(2.34, 3.31)","1.38e-26",2050
"CARISOPRODOL, FENTANYL","FENTANYL",2.79,"(2.33, 3.32)","8.61e-25",2767
"PACLITAXEL, CETUXIMAB","CETUXIMAB",2.79,"(1.85, 4.09)","1.63e-06",181
"SALBUTAMOL, CARISOPRODOL","SALBUTAMOL",2.79,"(2.27, 3.39)","7.63e-20",3911
"OXYCODONE, AMITRIPTYLINE","OXYCODONE",2.79,"(2.51, 3.08)","2.57e-72",4418
"MORPHINE, ACYCLOVIR","ACYCLOVIR",2.79,"(2.3, 3.36)","6.10e-23",951
"NITROGLYCERIN, PREDNISONE","PREDNISONE",2.79,"(2.38, 3.25)","1.23e-31",4984
"OMEPRAZOLE, CLAVULANATE","CLAVULANATE",2.79,"(2.29, 3.38)","2.27e-22",686
"PANTOPRAZOLE, DARBEPOETIN ALFA","DARBEPOETIN ALFA",2.78,"(2.31, 3.34)","5.24e-25",730
"AMOXICILLIN, ESOMEPRAZOLE","ESOMEPRAZOLE",2.78,"(2.42, 3.19)","5.81e-40",4163
"POTASSIUM CHLORIDE, LENALIDOMIDE","LENALIDOMIDE",2.78,"(2.22, 3.45)","8.21e-17",1107
"MEGESTROL, ACETYLSALICYLIC ACID","MEGESTROL",2.78,"(2.24, 3.45)","5.25e-20",404
"ATENOLOL, FENTANYL","FENTANYL",2.78,"(2.36, 3.26)","7.73e-30",2767
"TIOTROPIUM, HYDROCHLOROTHIAZIDE","TIOTROPIUM",2.78,"(2.29, 3.36)","1.66e-21",1251
"WARFARIN, LOPERAMIDE","LOPERAMIDE",2.78,"(2.2, 3.49)","6.30e-16",566
"LORAZEPAM, TRAMADOL","TRAMADOL",2.78,"(2.44, 3.16)","3.45e-47",2510
"LORAZEPAM, DIAZEPAM","LORAZEPAM",2.78,"(2.44, 3.16)","2.52e-45",3224
"METHOCARBAMOL, ACETAMINOPHEN","ACETAMINOPHEN",2.78,"(2.37, 3.24)","1.60e-31",10717
"LORAZEPAM, TRAMADOL","LORAZEPAM",2.78,"(2.45, 3.15)","4.89e-48",3224
"POTASSIUM, TRIMETHOPRIM","TRIMETHOPRIM",2.78,"(2.25, 3.4)","5.09e-19",1614
"MORPHINE, ATORVASTATIN","MORPHINE",2.78,"(2.37, 3.24)","5.60e-32",2024
"METFORMIN, ZOLEDRONATE","ZOLEDRONATE",2.78,"(2.39, 3.22)","1.23e-34",4579
"VENLAFAXINE, IBUPROFEN","IBUPROFEN",2.78,"(2.4, 3.21)","1.14e-35",3510
"ROSUVASTATIN, VALSARTAN","VALSARTAN",2.78,"(2.45, 3.14)","2.93e-49",3035
"ROFECOXIB, WARFARIN","WARFARIN",2.78,"(2.39, 3.21)","6.70e-35",4188
"METOCLOPRAMIDE, GABAPENTIN","GABAPENTIN",2.78,"(2.47, 3.11)","2.37e-56",4852
"METOCLOPRAMIDE, OMEPRAZOLE","METOCLOPRAMIDE",2.78,"(2.44, 3.15)","9.26e-48",1439
"PREDNISONE, FLUOXETINE","FLUOXETINE",2.78,"(2.4, 3.2)","6.75e-38",2050
"ONDANSETRON, SULFAMETHOXAZOLE","SULFAMETHOXAZOLE",2.78,"(2.33, 3.29)","1.30e-26",1208
"FENOFIBRATE, INSULIN GLARGINE","INSULIN GLARGINE",2.78,"(2.25, 3.4)","1.17e-18",1579
"EZETIMIBE, FOLIC ACID","FOLIC ACID",2.78,"(2.31, 3.32)","3.64e-23",2656
"WARFARIN, CLONAZEPAM","WARFARIN",2.78,"(2.38, 3.22)","8.90e-33",4188
"TRAMADOL, FLUOXETINE","FLUOXETINE",2.78,"(2.36, 3.25)","6.57e-30",2050
"BEVACIZUMAB, CYCLOPHOSPHAMIDE","BEVACIZUMAB",2.78,"(2.08, 3.66)","8.79e-11",525
"BEVACIZUMAB, DEXAMETHASONE","BEVACIZUMAB",2.77,"(2.24, 3.42)","7.57e-19",525
"TORASEMIDE, FUROSEMIDE","TORASEMIDE",2.77,"(2.25, 3.4)","1.56e-20",492
"METOCLOPRAMIDE, SALBUTAMOL","METOCLOPRAMIDE",2.77,"(2.36, 3.24)","8.29e-31",1439
"METOPROLOL, CELECOXIB","CELECOXIB",2.77,"(2.45, 3.13)","1.59e-49",2493
"METFORMIN, CIPROFLOXACIN","METFORMIN",2.77,"(2.3, 3.32)","8.15e-23",4985
"TRIMETHOPRIM, IRON","TRIMETHOPRIM",2.77,"(2.27, 3.36)","5.52e-21",1614
"CLONIDINE, GABAPENTIN","CLONIDINE",2.77,"(2.36, 3.24)","6.48e-32",1140
"TRIMETHOPRIM, IBUPROFEN","TRIMETHOPRIM",2.77,"(2.29, 3.33)","8.78e-23",1614
"PREDNISONE, HYDROCODONE","PREDNISONE",2.77,"(2.55, 3.01)","7.18e-110",4984
"DULOXETINE, IBUPROFEN","DULOXETINE",2.77,"(2.34, 3.27)","1.29e-27",2135
"ATENOLOL, SERTRALINE","SERTRALINE",2.77,"(2.44, 3.14)","1.30e-46",3054
"CYCLOSPORINE, ALLOPURINOL","ALLOPURINOL",2.77,"(2.28, 3.35)","2.68e-21",2362
"DOXORUBICIN, FUROSEMIDE","FUROSEMIDE",2.77,"(2.3, 3.32)","6.52e-23",6619
"AMOXICILLIN, HYDROCHLOROTHIAZIDE","AMOXICILLIN",2.77,"(2.32, 3.29)","4.07e-26",1746
