"Drug_name1","Drug_name2","OR","95.CI","Pvalue","ac"
"LORAZEPAM, ACETAMINOPHEN, LANSOPRAZOLE","ACETAMINOPHEN, LANSOPRAZOLE",2.09,"(1.73, 2.51)","3.83e-14",863
"ACETAMINOPHEN, FOLIC ACID, FUROSEMIDE","ACETAMINOPHEN, FOLIC ACID",2.09,"(1.74, 2.5)","1.22e-14",644
"ACETAMINOPHEN, TRAMADOL, ESOMEPRAZOLE","ACETAMINOPHEN, TRAMADOL",2.09,"(1.76, 2.47)","8.04e-16",1107
"LORAZEPAM, METOPROLOL, SIMVASTATIN","LORAZEPAM, SIMVASTATIN",2.09,"(1.66, 2.62)","1.64e-10",372
"ONDANSETRON, ACETAMINOPHEN, DEXAMETHASONE","ONDANSETRON, ACETAMINOPHEN",2.09,"(1.79, 2.43)","8.39e-21",769
"OXYCODONE, ACETYLSALICYLIC ACID, ALPRAZOLAM","OXYCODONE, ALPRAZOLAM",2.09,"(1.74, 2.5)","6.80e-15",797
"SALBUTAMOL, ACETAMINOPHEN, HYDROCODONE","SALBUTAMOL, ACETAMINOPHEN",2.09,"(1.85, 2.36)","5.92e-34",1195
"MORPHINE, ACETAMINOPHEN, GABAPENTIN","ACETAMINOPHEN, GABAPENTIN",2.09,"(1.83, 2.37)","2.58e-27",1689
"PREDNISONE, ACETAMINOPHEN, CYCLOBENZAPRINE","ACETAMINOPHEN, CYCLOBENZAPRINE",2.09,"(1.75, 2.48)","7.89e-16",842
"ACETAMINOPHEN, ESOMEPRAZOLE, FLUTICASONE PROPIONATE","ESOMEPRAZOLE, FLUTICASONE PROPIONATE",2.09,"(1.69, 2.58)","8.56e-12",410
"OXYCODONE, ACETAMINOPHEN, CYCLOBENZAPRINE","OXYCODONE, CYCLOBENZAPRINE",2.09,"(1.67, 2.62)","7.53e-12",532
"FUROSEMIDE, IPRATROPIUM BROMIDE, LISINOPRIL","IPRATROPIUM BROMIDE, LISINOPRIL",2.09,"(1.54, 2.83)","9.53e-07",200
"SALBUTAMOL, CLONAZEPAM, FLUTICASONE PROPIONATE","SALBUTAMOL, FLUTICASONE PROPIONATE",2.09,"(1.7, 2.53)","5.70e-12",1368
"SALBUTAMOL, SALMETEROL, DILTIAZEM","SALMETEROL, DILTIAZEM",2.09,"(1.35, 3.29)","5.57e-04",104
"LOSARTAN, SIMVASTATIN, FUROSEMIDE","LOSARTAN, FUROSEMIDE",2.09,"(1.68, 2.58)","3.72e-11",431
"LOSARTAN, ACETAMINOPHEN, ACETYLSALICYLIC ACID","LOSARTAN, ACETYLSALICYLIC ACID",2.09,"(1.74, 2.5)","9.90e-15",718
"METFORMIN, METOPROLOL, GABAPENTIN","METFORMIN, METOPROLOL",2.09,"(1.65, 2.62)","1.86e-09",614
"OXYCODONE, PREDNISONE, ACETAMINOPHEN","PREDNISONE, ACETAMINOPHEN",2.09,"(1.85, 2.35)","1.24e-31",1285
"POTASSIUM CHLORIDE, TRAMADOL, FUROSEMIDE","POTASSIUM CHLORIDE, FUROSEMIDE",2.09,"(1.73, 2.5)","1.54e-13",1374
"SIMVASTATIN, FOLIC ACID, FUROSEMIDE","SIMVASTATIN, FOLIC ACID",2.08,"(1.7, 2.55)","2.11e-12",467
"OXYCODONE, ACETAMINOPHEN, CARISOPRODOL","ACETAMINOPHEN, CARISOPRODOL",2.08,"(1.73, 2.52)","9.45e-15",513
"ACETAMINOPHEN, ZOLPIDEM, IBUPROFEN","ZOLPIDEM, IBUPROFEN",2.08,"(1.65, 2.63)","1.29e-10",366
"METOCLOPRAMIDE, PREDNISONE, ACETAMINOPHEN","PREDNISONE, ACETAMINOPHEN",2.08,"(1.73, 2.5)","1.40e-13",1285
"METOPROLOL, ZOLPIDEM, FUROSEMIDE","ZOLPIDEM, FUROSEMIDE",2.08,"(1.74, 2.49)","2.59e-15",656
"PREDNISONE, ADALIMUMAB, LEFLUNOMIDE","ADALIMUMAB, LEFLUNOMIDE",2.08,"(1.39, 3.1)","2.18e-04",111
"PANTOPRAZOLE, ZOLPIDEM, HYDROCODONE","PANTOPRAZOLE, HYDROCODONE",2.08,"(1.72, 2.51)","4.99e-14",594
"PREDNISONE, ACETAMINOPHEN, ESOMEPRAZOLE","PREDNISONE, ESOMEPRAZOLE",2.08,"(1.73, 2.51)","8.34e-15",515
"OXYCODONE, FUROSEMIDE, LEVOTHYROXINE","FUROSEMIDE, LEVOTHYROXINE",2.08,"(1.72, 2.5)","1.64e-13",1080
"WARFARIN, ACETYLSALICYLIC ACID, FOLIC ACID","ACETYLSALICYLIC ACID, FOLIC ACID",2.08,"(1.67, 2.58)","2.02e-10",717
"PANTOPRAZOLE, SALBUTAMOL, ACETAMINOPHEN","PANTOPRAZOLE, SALBUTAMOL",2.08,"(1.7, 2.54)","1.64e-13",450
"METOPROLOL, ACETAMINOPHEN, HYDROCHLOROTHIAZIDE","METOPROLOL, HYDROCHLOROTHIAZIDE",2.08,"(1.77, 2.44)","5.01e-18",842
"ZOLPIDEM, ALPRAZOLAM, GABAPENTIN","ZOLPIDEM, GABAPENTIN",2.08,"(1.73, 2.5)","1.99e-14",662
"PANTOPRAZOLE, ALPRAZOLAM, FUROSEMIDE","PANTOPRAZOLE, ALPRAZOLAM",2.08,"(1.68, 2.56)","7.60e-12",439
"POTASSIUM CHLORIDE, ACETAMINOPHEN, CARVEDILOL","POTASSIUM CHLORIDE, ACETAMINOPHEN",2.08,"(1.7, 2.53)","2.08e-12",856
"SALBUTAMOL, FLUTICASONE PROPIONATE, FOLIC ACID","FLUTICASONE PROPIONATE, FOLIC ACID",2.08,"(1.54, 2.81)","6.49e-07",205
"PAMIDRONATE, ACETAMINOPHEN, GABAPENTIN","PAMIDRONATE, GABAPENTIN",2.08,"(1.66, 2.61)","2.84e-11",560
"SALBUTAMOL, ZOLPIDEM, ACETYLSALICYLIC ACID","ZOLPIDEM, ACETYLSALICYLIC ACID",2.08,"(1.71, 2.52)","5.39e-13",721
"OXYCODONE, ACETYLSALICYLIC ACID, LISINOPRIL","ACETYLSALICYLIC ACID, LISINOPRIL",2.08,"(1.77, 2.43)","4.96e-18",1873
"OXYCODONE, HYDROCHLOROTHIAZIDE, LISINOPRIL","HYDROCHLOROTHIAZIDE, LISINOPRIL",2.08,"(1.69, 2.54)","2.08e-11",1077
"ACETAMINOPHEN, FENOFIBRATE, HYDROCODONE","ACETAMINOPHEN, HYDROCODONE",2.08,"(1.73, 2.48)","6.59e-14",3899
"METOPROLOL, ESOMEPRAZOLE, HYDROCHLOROTHIAZIDE","METOPROLOL, ESOMEPRAZOLE",2.08,"(1.68, 2.55)","2.26e-11",634
"POTASSIUM, PREDNISONE, ACETAMINOPHEN","POTASSIUM, ACETAMINOPHEN",2.08,"(1.71, 2.51)","2.07e-13",652
"ACETAMINOPHEN, TIOTROPIUM, ACETYLSALICYLIC ACID","TIOTROPIUM, ACETYLSALICYLIC ACID",2.08,"(1.62, 2.64)","6.69e-09",377
"PANTOPRAZOLE, SALBUTAMOL, IPRATROPIUM BROMIDE","SALBUTAMOL, IPRATROPIUM BROMIDE",2.08,"(1.73, 2.48)","2.08e-14",933
"OMEPRAZOLE, PREDNISOLONE, ACETYLSALICYLIC ACID","OMEPRAZOLE, PREDNISOLONE",2.08,"(1.59, 2.69)","6.97e-08",319
"METOCLOPRAMIDE, PANTOPRAZOLE, ACETAMINOPHEN","METOCLOPRAMIDE, ACETAMINOPHEN",2.08,"(1.74, 2.47)","4.57e-16",667
"PAMIDRONATE, ACETAMINOPHEN, WARFARIN","PAMIDRONATE, WARFARIN",2.08,"(1.68, 2.57)","4.09e-12",532
"SALBUTAMOL, SALMETEROL, ACETYLSALICYLIC ACID","SALBUTAMOL, SALMETEROL",2.07,"(1.81, 2.38)","5.11e-24",1142
"PACLITAXEL, ACETAMINOPHEN, CARBOPLATIN","PACLITAXEL, CARBOPLATIN",2.07,"(1.51, 2.81)","8.47e-06",290
"LORAZEPAM, PREDNISONE, ACETYLSALICYLIC ACID","PREDNISONE, ACETYLSALICYLIC ACID",2.07,"(1.71, 2.5)","2.96e-13",992
"METOPROLOL, WARFARIN, AMIODARONE","METOPROLOL, AMIODARONE",2.07,"(1.57, 2.74)","1.46e-07",227
"OXYCODONE, SALBUTAMOL, HYDROCODONE","OXYCODONE, HYDROCODONE",2.07,"(1.77, 2.42)","2.22e-19",1190
"PANTOPRAZOLE, ACETAMINOPHEN, IPRATROPIUM BROMIDE","ACETAMINOPHEN, IPRATROPIUM BROMIDE",2.07,"(1.67, 2.57)","7.93e-11",446
"OMEPRAZOLE, FUROSEMIDE, IPRATROPIUM BROMIDE","FUROSEMIDE, IPRATROPIUM BROMIDE",2.07,"(1.64, 2.61)","1.23e-09",385
"PANTOPRAZOLE, FUROSEMIDE, LEVOFLOXACIN","PANTOPRAZOLE, FUROSEMIDE",2.07,"(1.69, 2.52)","4.14e-12",811
"MORPHINE, ONDANSETRON, OXYCODONE","ONDANSETRON, OXYCODONE",2.07,"(1.66, 2.58)","1.14e-10",418
"ACETAMINOPHEN, FUROSEMIDE, AMITRIPTYLINE","FUROSEMIDE, AMITRIPTYLINE",2.07,"(1.65, 2.6)","9.92e-11",359
"METOPROLOL, ALPRAZOLAM, HYDROCODONE","METOPROLOL, HYDROCODONE",2.07,"(1.72, 2.5)","7.61e-14",669
"OMEPRAZOLE, ACETYLSALICYLIC ACID, HYDROCODONE","OMEPRAZOLE, ACETYLSALICYLIC ACID",2.07,"(1.79, 2.39)","4.45e-21",1625
"SALBUTAMOL, FLUTICASONE PROPIONATE, LANSOPRAZOLE","SALBUTAMOL, FLUTICASONE PROPIONATE",2.07,"(1.72, 2.48)","1.44e-13",1368
"OMEPRAZOLE, ACETAMINOPHEN, FLUCONAZOLE","ACETAMINOPHEN, FLUCONAZOLE",2.07,"(1.7, 2.53)","1.13e-12",520
"ATORVASTATIN, DIGOXIN, FUROSEMIDE","DIGOXIN, FUROSEMIDE",2.07,"(1.74, 2.46)","2.64e-15",762
"RANITIDINE, SALBUTAMOL, ACETAMINOPHEN","RANITIDINE, ACETAMINOPHEN",2.07,"(1.71, 2.51)","4.12e-13",661
"SIMVASTATIN, ACETYLSALICYLIC ACID, ALPRAZOLAM","SIMVASTATIN, ALPRAZOLAM",2.07,"(1.68, 2.55)","1.86e-12",421
"QUETIAPINE, RISPERIDONE, VALPROIC ACID","QUETIAPINE, RISPERIDONE",2.07,"(1.51, 2.82)","5.56e-06",196
"SALBUTAMOL, SALMETEROL, GABAPENTIN","SALMETEROL, GABAPENTIN",2.07,"(1.5, 2.88)","2.76e-06",211
"LORATADINE, ACETAMINOPHEN, ACETYLSALICYLIC ACID","LORATADINE, ACETYLSALICYLIC ACID",2.07,"(1.63, 2.63)","1.81e-09",315
"METFORMIN, ACETAMINOPHEN, ALPRAZOLAM","METFORMIN, ACETAMINOPHEN",2.07,"(1.68, 2.53)","1.97e-11",728
"ACETYLSALICYLIC ACID, GABAPENTIN, AMLODIPINE","ACETYLSALICYLIC ACID, AMLODIPINE",2.07,"(1.75, 2.43)","1.33e-16",1952
"ACETAMINOPHEN, GABAPENTIN, AMLODIPINE","ACETAMINOPHEN, AMLODIPINE",2.07,"(1.74, 2.46)","3.64e-15",945
"PROMETHAZINE, ACETAMINOPHEN, FENTANYL","ACETAMINOPHEN, FENTANYL",2.07,"(1.71, 2.49)","1.73e-13",1108
"FUROSEMIDE, HYDROCHLOROTHIAZIDE, LISINOPRIL","HYDROCHLOROTHIAZIDE, LISINOPRIL",2.07,"(1.73, 2.46)","6.50e-15",1077
"OMEPRAZOLE, GABAPENTIN, LISINOPRIL","OMEPRAZOLE, LISINOPRIL",2.07,"(1.68, 2.53)","1.35e-11",662
"PREDNISONE, PROMETHAZINE, ACETAMINOPHEN","PROMETHAZINE, ACETAMINOPHEN",2.07,"(1.69, 2.52)","5.37e-12",628
"ACETAMINOPHEN, HYDROCODONE, LANSOPRAZOLE","ACETAMINOPHEN, LANSOPRAZOLE",2.07,"(1.79, 2.39)","7.22e-23",863
"ATORVASTATIN, HYDROCHLOROTHIAZIDE, LEVOTHYROXINE","HYDROCHLOROTHIAZIDE, LEVOTHYROXINE",2.07,"(1.73, 2.47)","1.07e-14",798
"SIMVASTATIN, ACETAMINOPHEN, HYDROCODONE","SIMVASTATIN, HYDROCODONE",2.07,"(1.58, 2.74)","8.39e-09",613
"OMEPRAZOLE, FUROSEMIDE, IPRATROPIUM BROMIDE","OMEPRAZOLE, IPRATROPIUM BROMIDE",2.07,"(1.58, 2.72)","7.59e-08",242
"METOPROLOL, FUROSEMIDE, INSULIN GLARGINE","METOPROLOL, FUROSEMIDE",2.07,"(1.74, 2.44)","1.04e-15",1289
"ATORVASTATIN, ACETAMINOPHEN, IBUPROFEN","ATORVASTATIN, ACETAMINOPHEN",2.07,"(1.73, 2.46)","1.17e-14",1259
"ACETAMINOPHEN, ZOLEDRONATE, CHLORHEXIDINE","ACETAMINOPHEN, ZOLEDRONATE",2.07,"(1.8, 2.38)","4.44e-24",1524
"PREDNISONE, FUROSEMIDE, IRON","FUROSEMIDE, IRON",2.07,"(1.67, 2.55)","4.74e-11",542
"ROSUVASTATIN, ACETYLSALICYLIC ACID, CLOPIDOGREL","ACETYLSALICYLIC ACID, CLOPIDOGREL",2.07,"(1.83, 2.33)","4.31e-28",2144
"METOPROLOL, ACETYLSALICYLIC ACID, GABAPENTIN","METOPROLOL, ACETYLSALICYLIC ACID",2.07,"(1.81, 2.35)","6.60e-25",2442
"PREDNISONE, ALENDRONATE, FUROSEMIDE","PREDNISONE, FUROSEMIDE",2.07,"(1.67, 2.54)","6.65e-11",822
"PACLITAXEL, CYCLOPHOSPHAMIDE, DOXORUBICIN","PACLITAXEL, DOXORUBICIN",2.07,"(1.43, 3.02)","4.63e-05",150
"ACETAMINOPHEN, ZOLPIDEM, HYDROCODONE","ACETAMINOPHEN, HYDROCODONE",2.06,"(1.89, 2.25)","2.61e-55",3899
"ACETAMINOPHEN, ACETYLSALICYLIC ACID, ALENDRONATE","ACETYLSALICYLIC ACID, ALENDRONATE",2.06,"(1.71, 2.49)","4.99e-14",562
"PROPOXYPHENE, ACETAMINOPHEN, ZOLPIDEM","ACETAMINOPHEN, ZOLPIDEM",2.06,"(1.73, 2.45)","5.90e-15",1260
"PANTOPRAZOLE, ACETAMINOPHEN, ALPRAZOLAM","ACETAMINOPHEN, ALPRAZOLAM",2.06,"(1.78, 2.39)","3.24e-20",1323
"ACETAMINOPHEN, DEXAMETHASONE, DOCETAXEL","ACETAMINOPHEN, DOCETAXEL",2.06,"(1.61, 2.65)","3.07e-09",311
"SALBUTAMOL, ACETYLSALICYLIC ACID, HYDROCHLOROTHIAZIDE","SALBUTAMOL, ACETYLSALICYLIC ACID",2.06,"(1.74, 2.43)","2.99e-16",1003
"WARFARIN, ACETYLSALICYLIC ACID, ESOMEPRAZOLE","WARFARIN, ACETYLSALICYLIC ACID",2.06,"(1.7, 2.49)","9.52e-13",1034
"METOPROLOL, SPIRONOLACTONE, FUROSEMIDE","SPIRONOLACTONE, FUROSEMIDE",2.06,"(1.71, 2.48)","3.55e-13",776
"SIMVASTATIN, WARFARIN, ACETYLSALICYLIC ACID","WARFARIN, ACETYLSALICYLIC ACID",2.06,"(1.79, 2.37)","1.54e-23",1034
"PREDNISONE, ATENOLOL, FUROSEMIDE","PREDNISONE, FUROSEMIDE",2.06,"(1.67, 2.53)","3.35e-11",822
"METOPROLOL, FOLIC ACID, FUROSEMIDE","METOPROLOL, FOLIC ACID",2.06,"(1.67, 2.54)","1.89e-11",411
"LORAZEPAM, METOPROLOL, FUROSEMIDE","METOPROLOL, FUROSEMIDE",2.06,"(1.74, 2.44)","1.01e-15",1289
"OMEPRAZOLE, POTASSIUM, FUROSEMIDE","POTASSIUM, FUROSEMIDE",2.06,"(1.71, 2.48)","1.10e-13",664
"ACETAMINOPHEN, ALPRAZOLAM, AMITRIPTYLINE","ACETAMINOPHEN, ALPRAZOLAM",2.06,"(1.71, 2.47)","1.22e-13",1323
"POTASSIUM CHLORIDE, WARFARIN, LISINOPRIL","POTASSIUM CHLORIDE, WARFARIN",2.06,"(1.67, 2.53)","1.65e-11",516
"PANTOPRAZOLE, ATORVASTATIN, AMLODIPINE","PANTOPRAZOLE, AMLODIPINE",2.06,"(1.62, 2.6)","4.50e-09",399
"POTASSIUM, SALBUTAMOL, FLUTICASONE PROPIONATE","SALBUTAMOL, FLUTICASONE PROPIONATE",2.06,"(1.65, 2.55)","1.08e-09",1368
"ACETAMINOPHEN, WARFARIN, IRON","ACETAMINOPHEN, WARFARIN",2.06,"(1.73, 2.45)","5.70e-15",1105
"ACETYLSALICYLIC ACID, CELECOXIB, LEVOTHYROXINE","ACETYLSALICYLIC ACID, CELECOXIB",2.06,"(1.67, 2.53)","2.39e-11",569
"PANTOPRAZOLE, FUROSEMIDE, LISINOPRIL","PANTOPRAZOLE, LISINOPRIL",2.06,"(1.68, 2.52)","2.75e-12",432
"PAMIDRONATE, ZOLEDRONATE, ZOLPIDEM","PAMIDRONATE, ZOLPIDEM",2.06,"(1.41, 3.05)","6.91e-05",437
"PREDNISONE, ACETAMINOPHEN, IBUPROFEN","PREDNISONE, IBUPROFEN",2.06,"(1.62, 2.62)","1.33e-09",315
"OXYCODONE, ACETAMINOPHEN, CEPHALEXIN","OXYCODONE, CEPHALEXIN",2.06,"(1.51, 2.84)","1.59e-06",374
"PREDNISONE, ACETAMINOPHEN, ZOLPIDEM","ACETAMINOPHEN, ZOLPIDEM",2.06,"(1.78, 2.38)","3.24e-21",1260
"ACETYLSALICYLIC ACID, CITALOPRAM, FUROSEMIDE","ACETYLSALICYLIC ACID, FUROSEMIDE",2.06,"(1.72, 2.44)","1.87e-14",2345
"POTASSIUM CHLORIDE, ACETAMINOPHEN, FOLIC ACID","ACETAMINOPHEN, FOLIC ACID",2.06,"(1.65, 2.55)","4.26e-10",644
"POTASSIUM, WARFARIN, DIGOXIN","WARFARIN, DIGOXIN",2.06,"(1.63, 2.58)","3.69e-09",664
"ACETAMINOPHEN, FLUTICASONE PROPIONATE, IBUPROFEN","ACETAMINOPHEN, IBUPROFEN",2.06,"(1.7, 2.47)","2.99e-13",1329
"FLUTICASONE PROPIONATE, FUROSEMIDE, HYDROCODONE","FLUTICASONE PROPIONATE, FUROSEMIDE",2.06,"(1.65, 2.55)","2.16e-10",484
"METFORMIN, SALBUTAMOL, FUROSEMIDE","METFORMIN, SALBUTAMOL",2.06,"(1.64, 2.58)","2.68e-10",348
"PANTOPRAZOLE, ACETAMINOPHEN, HYDROCODONE","ACETAMINOPHEN, HYDROCODONE",2.06,"(1.86, 2.27)","1.37e-41",3899
"LORAZEPAM, PREDNISONE, ACETYLSALICYLIC ACID","LORAZEPAM, ACETYLSALICYLIC ACID",2.06,"(1.68, 2.5)","3.15e-12",655
"ACETAMINOPHEN, TRAMADOL, CELECOXIB","ACETAMINOPHEN, TRAMADOL",2.06,"(1.69, 2.48)","1.60e-12",1107
"OXYCODONE, ACETAMINOPHEN, ACETYLSALICYLIC ACID","OXYCODONE, ACETYLSALICYLIC ACID",2.05,"(1.75, 2.42)","3.69e-20",904
"ACETAMINOPHEN, ACETYLSALICYLIC ACID, CIPROFLOXACIN","ACETYLSALICYLIC ACID, CIPROFLOXACIN",2.05,"(1.67, 2.53)","2.66e-12",436
"ACETAMINOPHEN, WARFARIN, ALPRAZOLAM","WARFARIN, ALPRAZOLAM",2.05,"(1.62, 2.6)","7.46e-10",329
"ONDANSETRON, ACETAMINOPHEN, ACETYLSALICYLIC ACID","ONDANSETRON, ACETYLSALICYLIC ACID",2.05,"(1.59, 2.67)","1.06e-08",285
"LORAZEPAM, SERTRALINE, ACETAMINOPHEN","SERTRALINE, ACETAMINOPHEN",2.05,"(1.7, 2.48)","4.58e-13",773
"PREDNISONE, CARVEDILOL, FUROSEMIDE","CARVEDILOL, FUROSEMIDE",2.05,"(1.67, 2.51)","5.25e-11",788
"METOCLOPRAMIDE, OXYCODONE, ACETAMINOPHEN","OXYCODONE, ACETAMINOPHEN",2.05,"(1.8, 2.34)","6.55e-25",2658
"METFORMIN, ATORVASTATIN, GLIPIZIDE","METFORMIN, GLIPIZIDE",2.05,"(1.68, 2.5)","4.38e-12",534
"PREDNISONE, SIMVASTATIN, ACETAMINOPHEN","PREDNISONE, SIMVASTATIN",2.05,"(1.71, 2.46)","1.24e-14",557
"NITROGLYCERIN, ACETYLSALICYLIC ACID, DIGOXIN","ACETYLSALICYLIC ACID, DIGOXIN",2.05,"(1.68, 2.5)","6.61e-12",635
"METFORMIN, ACETAMINOPHEN, GABAPENTIN","METFORMIN, ACETAMINOPHEN",2.05,"(1.71, 2.45)","3.88e-14",728
"SIMVASTATIN, WARFARIN, FUROSEMIDE","WARFARIN, FUROSEMIDE",2.05,"(1.8, 2.34)","4.24e-25",1225
"ACETAMINOPHEN, FENTANYL, HYDROCODONE","ACETAMINOPHEN, HYDROCODONE",2.05,"(1.88, 2.24)","3.08e-51",3899
"SALBUTAMOL, ACETAMINOPHEN, LISINOPRIL","SALBUTAMOL, ACETAMINOPHEN",2.05,"(1.77, 2.37)","1.48e-20",1195
"SALBUTAMOL, IPRATROPIUM BROMIDE, LEVOTHYROXINE","SALBUTAMOL, IPRATROPIUM BROMIDE",2.05,"(1.73, 2.43)","2.21e-15",933
"ACETAMINOPHEN, FUROSEMIDE, AMIODARONE","FUROSEMIDE, AMIODARONE",2.05,"(1.62, 2.58)","1.82e-09",374
"ACETAMINOPHEN, CALCIUM, HYDROCODONE","ACETAMINOPHEN, HYDROCODONE",2.05,"(1.8, 2.33)","7.02e-25",3899
"SALBUTAMOL, ACETYLSALICYLIC ACID, LISINOPRIL","SALBUTAMOL, ACETYLSALICYLIC ACID",2.05,"(1.77, 2.37)","1.41e-21",1003
"ACETAMINOPHEN, DIAZEPAM, HYDROCODONE","ACETAMINOPHEN, HYDROCODONE",2.05,"(1.85, 2.26)","2.03e-40",3899
"SIMVASTATIN, ACETAMINOPHEN, TRAMADOL","SIMVASTATIN, TRAMADOL",2.05,"(1.62, 2.59)","7.52e-10",334
"ZOLPIDEM, GABAPENTIN, HYDROCODONE","ZOLPIDEM, HYDROCODONE",2.05,"(1.74, 2.41)","2.18e-17",793
"DIGOXIN, FUROSEMIDE, IPRATROPIUM BROMIDE","DIGOXIN, FUROSEMIDE",2.05,"(1.63, 2.55)","1.58e-09",762
"WARFARIN, ACETYLSALICYLIC ACID, GABAPENTIN","ACETYLSALICYLIC ACID, GABAPENTIN",2.05,"(1.7, 2.46)","2.05e-13",997
"SALBUTAMOL, SIMVASTATIN, ACETAMINOPHEN","SALBUTAMOL, SIMVASTATIN",2.05,"(1.71, 2.45)","3.39e-15",556
"SALBUTAMOL, ACETAMINOPHEN, TIOTROPIUM","ACETAMINOPHEN, TIOTROPIUM",2.05,"(1.55, 2.73)","1.49e-07",254
"SALBUTAMOL, ACETAMINOPHEN, CYCLOBENZAPRINE","SALBUTAMOL, ACETAMINOPHEN",2.05,"(1.7, 2.45)","1.80e-13",1195
"PREDNISONE, SALBUTAMOL, LEVOTHYROXINE","PREDNISONE, LEVOTHYROXINE",2.05,"(1.68, 2.49)","7.44e-12",617
"MORPHINE, SALBUTAMOL, FUROSEMIDE","SALBUTAMOL, FUROSEMIDE",2.05,"(1.68, 2.48)","3.10e-12",864
"RANITIDINE, SALMETEROL, FLUTICASONE PROPIONATE","SALMETEROL, FLUTICASONE PROPIONATE",2.05,"(1.67, 2.49)","5.05e-11",2015
"OXYCODONE, ACETAMINOPHEN, VITAMIN D","OXYCODONE, ACETAMINOPHEN",2.05,"(1.77, 2.35)","4.40e-21",2658
"FUROSEMIDE, GABAPENTIN, HYDROCODONE","GABAPENTIN, HYDROCODONE",2.05,"(1.77, 2.36)","1.84e-21",1033
"METHOTREXATE, PREDNISONE, VITAMIN D","METHOTREXATE, PREDNISONE",2.05,"(1.56, 2.66)","5.94e-07",598
"PREDNISOLONE, ACETYLSALICYLIC ACID, FUROSEMIDE","PREDNISOLONE, ACETYLSALICYLIC ACID",2.05,"(1.56, 2.67)","2.09e-07",263
"METOCLOPRAMIDE, ACETAMINOPHEN, FENTANYL","ACETAMINOPHEN, FENTANYL",2.05,"(1.72, 2.42)","1.56e-15",1108
"OXYCODONE, ALPRAZOLAM, FENTANYL","OXYCODONE, ALPRAZOLAM",2.05,"(1.72, 2.42)","5.11e-16",797
"PREDNISONE, SALBUTAMOL, ESOMEPRAZOLE","PREDNISONE, ESOMEPRAZOLE",2.05,"(1.66, 2.51)","2.46e-11",515
"METFORMIN, ATORVASTATIN, INSULIN GLARGINE","METFORMIN, INSULIN GLARGINE",2.04,"(1.59, 2.61)","2.89e-08",387
"MORPHINE, ZOLEDRONATE, DEXAMETHASONE","MORPHINE, ZOLEDRONATE",2.04,"(1.69, 2.47)","2.42e-14",588
"SALBUTAMOL, SALMETEROL, ACETAMINOPHEN","SALBUTAMOL, SALMETEROL",2.04,"(1.79, 2.34)","6.17e-24",1142
"PROCHLORPERAZINE, ACETAMINOPHEN, DEXAMETHASONE","PROCHLORPERAZINE, ACETAMINOPHEN",2.04,"(1.72, 2.43)","2.16e-16",610
"METOPROLOL, TRAMADOL, FUROSEMIDE","TRAMADOL, FUROSEMIDE",2.04,"(1.63, 2.56)","6.64e-10",396
"WARFARIN, ACETYLSALICYLIC ACID, DILTIAZEM","WARFARIN, ACETYLSALICYLIC ACID",2.04,"(1.71, 2.43)","3.81e-14",1034
"WARFARIN, ACETYLSALICYLIC ACID, IRON","WARFARIN, ACETYLSALICYLIC ACID",2.04,"(1.67, 2.48)","1.33e-11",1034
"PANTOPRAZOLE, ACETYLSALICYLIC ACID, ALPRAZOLAM","ACETYLSALICYLIC ACID, ALPRAZOLAM",2.04,"(1.7, 2.44)","7.04e-14",857
"OMEPRAZOLE, SALBUTAMOL, TIOTROPIUM","SALBUTAMOL, TIOTROPIUM",2.04,"(1.63, 2.54)","1.06e-09",545
"SALBUTAMOL, ACETAMINOPHEN, LEVOFLOXACIN","SALBUTAMOL, ACETAMINOPHEN",2.04,"(1.72, 2.42)","2.26e-15",1195
"METHOTREXATE, OMEPRAZOLE, PREDNISONE","METHOTREXATE, OMEPRAZOLE",2.04,"(1.52, 2.73)","1.07e-06",203
"ACETAMINOPHEN, LANSOPRAZOLE, LISINOPRIL","LANSOPRAZOLE, LISINOPRIL",2.04,"(1.56, 2.67)","1.18e-07",251
"ACETAMINOPHEN, CALCIUM, FOLIC ACID","ACETAMINOPHEN, FOLIC ACID",2.04,"(1.62, 2.55)","2.56e-09",644
"SALBUTAMOL, TIOTROPIUM, ACETYLSALICYLIC ACID","SALBUTAMOL, TIOTROPIUM",2.04,"(1.69, 2.46)","1.37e-13",545
"LORAZEPAM, SALBUTAMOL, HYDROCODONE","SALBUTAMOL, HYDROCODONE",2.04,"(1.69, 2.45)","1.97e-13",712
"SALBUTAMOL, HYDROCODONE, LISINOPRIL","HYDROCODONE, LISINOPRIL",2.04,"(1.68, 2.47)","1.32e-12",623
"ACETYLSALICYLIC ACID, DILTIAZEM, LISINOPRIL","DILTIAZEM, LISINOPRIL",2.04,"(1.59, 2.62)","1.43e-08",283
"OXYCODONE, ACETAMINOPHEN, ACETYLSALICYLIC ACID","ACETAMINOPHEN, ACETYLSALICYLIC ACID",2.04,"(1.85, 2.24)","6.06e-46",2386
"ACETYLSALICYLIC ACID, FLUTICASONE PROPIONATE, HYDROCODONE","ACETYLSALICYLIC ACID, FLUTICASONE PROPIONATE",2.04,"(1.68, 2.46)","8.66e-13",745
"WARFARIN, CARVEDILOL, LISINOPRIL","WARFARIN, CARVEDILOL",2.04,"(1.65, 2.52)","9.20e-11",431
