"Drug_name1","Drug_name2","OR","95.CI","Pvalue","ac"
"SIMVASTATIN, TIOTROPIUM, FLUTICASONE PROPIONATE","TIOTROPIUM",2.65,"(2.04, 3.41)","1.08e-11",1251
"METOPROLOL, ACETAMINOPHEN, ALPRAZOLAM","ACETAMINOPHEN",2.65,"(2.3, 3.06)","5.17e-34",10717
"GADOPENTETATE DIMEGLUMINE, GADOTERIDOL, GADOVERSETAMIDE","GADOVERSETAMIDE",2.65,"(2.04, 3.48)","3.60e-15",411
"PANTOPRAZOLE, ATORVASTATIN, FUROSEMIDE","PANTOPRAZOLE",2.65,"(2.27, 3.09)","1.75e-29",3314
"SIMVASTATIN, ACETYLSALICYLIC ACID, ESCITALOPRAM","ACETYLSALICYLIC ACID",2.65,"(2.21, 3.16)","1.43e-22",13865
"POTASSIUM CHLORIDE, CIPROFLOXACIN, FUROSEMIDE","POTASSIUM CHLORIDE",2.65,"(2.21, 3.17)","2.92e-22",2515
"SERTRALINE, ACETAMINOPHEN, HYDROCODONE","SERTRALINE",2.65,"(2.37, 2.96)","1.82e-55",3054
"ACETAMINOPHEN, WARFARIN, LEVOTHYROXINE","WARFARIN",2.65,"(2.29, 3.06)","1.60e-32",4188
"ACETAMINOPHEN, CIPROFLOXACIN, FUROSEMIDE","CIPROFLOXACIN",2.65,"(2.29, 3.06)","6.43e-34",2140
"PREDNISONE, ALENDRONATE, FUROSEMIDE","FUROSEMIDE",2.65,"(2.18, 3.21)","2.47e-19",6619
"NITROGLYCERIN, ACETAMINOPHEN, HYDROCODONE","HYDROCODONE",2.65,"(2.31, 3.04)","2.81e-37",4590
"METOPROLOL, SALBUTAMOL, HYDROCODONE","METOPROLOL",2.65,"(2.24, 3.11)","1.98e-26",6198
"OXYCODONE, PREDNISONE, FUROSEMIDE","OXYCODONE",2.65,"(2.29, 3.05)","6.91e-34",4418
"ACETAMINOPHEN, ACETYLSALICYLIC ACID, ESOMEPRAZOLE","ESOMEPRAZOLE",2.65,"(2.35, 2.98)","1.20e-48",4163
"METOPROLOL, PANTOPRAZOLE, HYDROCODONE","METOPROLOL",2.65,"(2.21, 3.16)","2.95e-22",6198
"LORAZEPAM, OXYCODONE, PREDNISONE","LORAZEPAM",2.65,"(2.23, 3.14)","1.96e-24",3224
"METOPROLOL, POTASSIUM, ACETAMINOPHEN","METOPROLOL",2.65,"(2.21, 3.16)","1.04e-22",6198
"PANTOPRAZOLE, PREDNISONE, ACETYLSALICYLIC ACID","PREDNISONE",2.65,"(2.26, 3.08)","2.68e-29",4984
"ACETAMINOPHEN, CLONAZEPAM, GABAPENTIN","GABAPENTIN",2.65,"(2.31, 3.03)","5.98e-38",4852
"NITROGLYCERIN, OMEPRAZOLE, FUROSEMIDE","FUROSEMIDE",2.65,"(2.24, 3.12)","2.54e-25",6619
"FLUTICASONE PROPIONATE, FUROSEMIDE, HYDROCODONE","FLUTICASONE PROPIONATE",2.65,"(2.18, 3.19)","4.51e-20",3257
"METFORMIN, METOPROLOL, GABAPENTIN","METFORMIN",2.65,"(2.13, 3.26)","3.08e-16",4985
"PREDNISONE, FOLIC ACID, IRON","PREDNISONE",2.65,"(2.15, 3.23)","1.38e-17",4984
"OMEPRAZOLE, FUROSEMIDE, GABAPENTIN","GABAPENTIN",2.65,"(2.3, 3.03)","4.34e-37",4852
"ACETYLSALICYLIC ACID, CARVEDILOL, HYDROCODONE","CARVEDILOL",2.65,"(2.18, 3.2)","8.97e-20",2012
"METOPROLOL, SALBUTAMOL, WARFARIN","WARFARIN",2.65,"(2.21, 3.15)","2.45e-22",4188
"METFORMIN, POTASSIUM CHLORIDE, ACETAMINOPHEN","METFORMIN",2.65,"(2.15, 3.23)","2.22e-17",4985
"OMEPRAZOLE, FENTANYL, FUROSEMIDE","OMEPRAZOLE",2.65,"(2.22, 3.14)","1.30e-23",6244
"ACETAMINOPHEN, ACETYLSALICYLIC ACID, DEXAMETHASONE","ACETAMINOPHEN",2.65,"(2.31, 3.02)","1.04e-37",10717
"ACETAMINOPHEN, ACETYLSALICYLIC ACID, LEVOFLOXACIN","LEVOFLOXACIN",2.64,"(2.3, 3.03)","2.07e-38",2880
"SALBUTAMOL, ACETAMINOPHEN, HYDROCHLOROTHIAZIDE","ACETAMINOPHEN",2.64,"(2.26, 3.08)","1.63e-29",10717
"AMOXICILLIN, POTASSIUM, ACETAMINOPHEN","AMOXICILLIN",2.64,"(2.33, 2.99)","8.04e-46",1746
"OXYCODONE, ATENOLOL, ACETAMINOPHEN","ATENOLOL",2.64,"(2.3, 3.04)","6.34e-36",4333
"METOPROLOL, FUROSEMIDE, GABAPENTIN","GABAPENTIN",2.64,"(2.32, 3.01)","2.65e-41",4852
"ACETYLSALICYLIC ACID, CELECOXIB, LEVOTHYROXINE","ACETYLSALICYLIC ACID",2.64,"(2.2, 3.16)","6.87e-22",13865
"ACETAMINOPHEN, TRAMADOL, CELECOXIB","TRAMADOL",2.64,"(2.19, 3.17)","1.83e-21",2510
"PREDNISONE, FOLIC ACID, AMLODIPINE","PREDNISONE",2.64,"(2.17, 3.19)","1.86e-19",4984
"ACETAMINOPHEN, WARFARIN, CARVEDILOL","ACETAMINOPHEN",2.64,"(2.2, 3.15)","5.29e-22",10717
"PREDNISONE, ATENOLOL, FUROSEMIDE","FUROSEMIDE",2.64,"(2.17, 3.19)","1.15e-19",6619
"PREDNISONE, ACETYLSALICYLIC ACID, IRON","PREDNISONE",2.64,"(2.15, 3.21)","3.85e-18",4984
"POTASSIUM, ACETAMINOPHEN, ACETYLSALICYLIC ACID","POTASSIUM",2.64,"(2.27, 3.06)","3.48e-32",2065
"POTASSIUM CHLORIDE, ROSUVASTATIN, FUROSEMIDE","FUROSEMIDE",2.64,"(2.17, 3.2)","4.34e-19",6619
"AMOXICILLIN, OMEPRAZOLE, POTASSIUM","OMEPRAZOLE",2.64,"(2.23, 3.12)","5.07e-25",6244
"ACETAMINOPHEN, ACETYLSALICYLIC ACID, IBUPROFEN","IBUPROFEN",2.64,"(2.33, 2.98)","5.17e-46",3510
"LORAZEPAM, OXYCODONE, PROCHLORPERAZINE","OXYCODONE",2.64,"(2.24, 3.09)","1.28e-27",4418
"OXYCODONE, ACETAMINOPHEN, ESOMEPRAZOLE","ACETAMINOPHEN",2.64,"(2.36, 2.95)","8.75e-54",10717
"ACETAMINOPHEN, ZOLPIDEM, CYCLOBENZAPRINE","CYCLOBENZAPRINE",2.64,"(2.26, 3.08)","2.05e-30",1624
"POTASSIUM, SALBUTAMOL, ACETAMINOPHEN","POTASSIUM",2.64,"(2.18, 3.18)","1.41e-20",2065
"PANTOPRAZOLE, SALBUTAMOL, SALMETEROL","SALMETEROL",2.64,"(2.19, 3.17)","5.24e-21",2396
"OXYCODONE, SENNA, ACETAMINOPHEN","OXYCODONE",2.64,"(2.24, 3.1)","8.86e-27",4418
"METOPROLOL, GABAPENTIN, HYDROCODONE","GABAPENTIN",2.64,"(2.24, 3.09)","1.20e-27",4852
"POTASSIUM CHLORIDE, ACETYLSALICYLIC ACID, HYDROCODONE","POTASSIUM CHLORIDE",2.64,"(2.26, 3.06)","1.12e-30",2515
"METOPROLOL, CLOPIDOGREL, GABAPENTIN","CLOPIDOGREL",2.64,"(2.22, 3.12)","1.84e-24",4276
"SALBUTAMOL, ACETYLSALICYLIC ACID, ESOMEPRAZOLE","ESOMEPRAZOLE",2.64,"(2.23, 3.1)","1.73e-25",4163
"OXYCODONE, ACETAMINOPHEN, DIGOXIN","OXYCODONE",2.64,"(2.21, 3.12)","6.64e-24",4418
"ACETYLSALICYLIC ACID, CITALOPRAM, FUROSEMIDE","CITALOPRAM",2.64,"(2.21, 3.13)","1.57e-23",2294
"ACETAMINOPHEN, FUROSEMIDE, IRON","ACETAMINOPHEN",2.64,"(2.29, 3.02)","4.22e-36",10717
"OMEPRAZOLE, ACETAMINOPHEN, HYDROCODONE","ACETAMINOPHEN",2.64,"(2.43, 2.85)","1.96e-101",10717
"ACETAMINOPHEN, WARFARIN, HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE",2.63,"(2.22, 3.12)","2.50e-24",5169
"MORPHINE, SALBUTAMOL, FUROSEMIDE","FUROSEMIDE",2.63,"(2.2, 3.14)","3.41e-22",6619
"METOPROLOL, SERTRALINE, ACETAMINOPHEN","ACETAMINOPHEN",2.63,"(2.19, 3.15)","2.41e-21",10717
"MORPHINE, ONDANSETRON, OXYCODONE","OXYCODONE",2.63,"(2.19, 3.15)","8.42e-22",4418
"OMEPRAZOLE, PREDNISONE, VITAMIN D","PREDNISONE",2.63,"(2.15, 3.2)","4.54e-18",4984
"ZOLPIDEM, ACETYLSALICYLIC ACID, HYDROCHLOROTHIAZIDE","ZOLPIDEM",2.63,"(2.18, 3.16)","1.32e-20",3296
"PREGABALIN, ACETAMINOPHEN, FUROSEMIDE","FUROSEMIDE",2.63,"(2.21, 3.11)","5.39e-24",6619
"METOPROLOL, PREDNISONE, FOLIC ACID","FOLIC ACID",2.63,"(2.16, 3.18)","4.70e-19",2656
"METOPROLOL, ESOMEPRAZOLE, FUROSEMIDE","ESOMEPRAZOLE",2.63,"(2.26, 3.06)","6.54e-30",4163
"PANTOPRAZOLE, ALLOPURINOL, FUROSEMIDE","FUROSEMIDE",2.63,"(2.22, 3.11)","1.41e-24",6619
"PREDNISONE, CARVEDILOL, FUROSEMIDE","PREDNISONE",2.63,"(2.17, 3.17)","1.28e-19",4984
"SIMVASTATIN, VALSARTAN, EZETIMIBE","VALSARTAN",2.63,"(2.15, 3.2)","2.02e-18",3035
"ACETAMINOPHEN, WARFARIN, ALPRAZOLAM","ALPRAZOLAM",2.63,"(2.23, 3.09)","1.29e-26",3887
"LORAZEPAM, PANTOPRAZOLE, FUROSEMIDE","LORAZEPAM",2.63,"(2.22, 3.1)","2.78e-25",3224
"ACETAMINOPHEN, WARFARIN, HEPARIN","WARFARIN",2.63,"(2.13, 3.22)","3.74e-17",4188
"METFORMIN, ACETAMINOPHEN, ALPRAZOLAM","ACETAMINOPHEN",2.63,"(2.17, 3.16)","2.85e-20",10717
"SALBUTAMOL, ZOLPIDEM, IPRATROPIUM BROMIDE","SALBUTAMOL",2.63,"(2.17, 3.17)","8.29e-20",3911
"OMEPRAZOLE, ACETAMINOPHEN, CLONAZEPAM","ACETAMINOPHEN",2.63,"(2.22, 3.09)","1.00e-25",10717
"ACETYLSALICYLIC ACID, IRON, LISINOPRIL","LISINOPRIL",2.63,"(2.23, 3.09)","3.72e-26",5419
"QUETIAPINE, ACETAMINOPHEN, ALPRAZOLAM","QUETIAPINE",2.63,"(2.04, 3.34)","4.07e-12",2018
"ACETAMINOPHEN, ZOLPIDEM, CLONAZEPAM","ZOLPIDEM",2.63,"(2.22, 3.1)","3.00e-25",3296
"PREDNISONE, ACETAMINOPHEN, TRAMADOL","ACETAMINOPHEN",2.63,"(2.25, 3.05)","1.12e-29",10717
"ACETAMINOPHEN, WARFARIN, ACETYLSALICYLIC ACID","ACETAMINOPHEN",2.63,"(2.35, 2.93)","6.13e-54",10717
"PREDNISONE, SALBUTAMOL, ALPRAZOLAM","SALBUTAMOL",2.62,"(2.14, 3.2)","6.30e-18",3911
"SALBUTAMOL, FLUTICASONE PROPIONATE, HYDROCODONE","FLUTICASONE PROPIONATE",2.62,"(2.29, 3)","1.03e-37",3257
"CLOPIDOGREL, FUROSEMIDE, HYDROCODONE","CLOPIDOGREL",2.62,"(2.18, 3.14)","8.69e-22",4276
"METOPROLOL, HYDROCHLOROTHIAZIDE, HYDROCODONE","HYDROCODONE",2.62,"(2.2, 3.12)","2.83e-23",4590
"CLOPIDOGREL, ALLOPURINOL, FUROSEMIDE","FUROSEMIDE",2.62,"(2.2, 3.11)","2.48e-23",6619
"PANTOPRAZOLE, PREDNISONE, ACETAMINOPHEN","PANTOPRAZOLE",2.62,"(2.29, 3)","2.52e-38",3314
"METOPROLOL, MORPHINE, ACETAMINOPHEN","MORPHINE",2.62,"(2.19, 3.13)","2.64e-22",2024
"PANTOPRAZOLE, ACETAMINOPHEN, TRAMADOL","ACETAMINOPHEN",2.62,"(2.21, 3.09)","5.97e-25",10717
"ACETYLSALICYLIC ACID, CITALOPRAM, FUROSEMIDE","FUROSEMIDE",2.62,"(2.21, 3.1)","6.53e-24",6619
"PANTOPRAZOLE, PREDNISONE, SALBUTAMOL","PANTOPRAZOLE",2.62,"(2.19, 3.13)","2.23e-22",3314
"PANTOPRAZOLE, FUROSEMIDE, LISINOPRIL","PANTOPRAZOLE",2.62,"(2.24, 3.05)","3.54e-29",3314
"OXYCODONE, TEMAZEPAM, ACETAMINOPHEN","TEMAZEPAM",2.62,"(2.21, 3.11)","2.09e-25",1051
"FUROSEMIDE, IPRATROPIUM BROMIDE, LISINOPRIL","IPRATROPIUM BROMIDE",2.62,"(2.12, 3.21)","3.26e-17",1215
"OMEPRAZOLE, POTASSIUM CHLORIDE, PREDNISONE","PREDNISONE",2.62,"(2.17, 3.15)","2.17e-20",4984
"ATORVASTATIN, ROSIGLITAZONE, LISINOPRIL","ROSIGLITAZONE",2.62,"(1.9, 3.54)","2.31e-08",1247
"OXYCODONE, ACETAMINOPHEN, TRAZODONE","ACETAMINOPHEN",2.62,"(2.26, 3.03)","3.62e-32",10717
"SIMVASTATIN, DILTIAZEM, FUROSEMIDE","FUROSEMIDE",2.62,"(2.19, 3.11)","7.30e-23",6619
"ACETAMINOPHEN, CARVEDILOL, HYDROCODONE","ACETAMINOPHEN",2.62,"(2.27, 3.02)","1.40e-33",10717
"ACETAMINOPHEN, WARFARIN, FLUTICASONE PROPIONATE","WARFARIN",2.62,"(2.15, 3.17)","1.43e-18",4188
"PANTOPRAZOLE, ACETAMINOPHEN, FUROSEMIDE","ACETAMINOPHEN",2.62,"(2.35, 2.91)","1.83e-57",10717
"OMEPRAZOLE, ACETAMINOPHEN, HYDROCODONE","OMEPRAZOLE",2.62,"(2.41, 2.85)","2.25e-97",6244
"SALBUTAMOL, ACETAMINOPHEN, DIPHENHYDRAMINE","SALBUTAMOL",2.62,"(2.19, 3.12)","4.19e-22",3911
"CLOPIDOGREL, ESOMEPRAZOLE, FUROSEMIDE","FUROSEMIDE",2.62,"(2.2, 3.11)","5.31e-23",6619
"OXYCODONE, ACETYLSALICYLIC ACID, FUROSEMIDE","OXYCODONE",2.62,"(2.31, 2.96)","6.70e-45",4418
"PREDNISONE, WARFARIN, ACETYLSALICYLIC ACID","ACETYLSALICYLIC ACID",2.62,"(2.25, 3.04)","2.01e-30",13865
"OMEPRAZOLE, WARFARIN, ACETYLSALICYLIC ACID","WARFARIN",2.62,"(2.26, 3.02)","1.59e-32",4188
"FUROSEMIDE, HYDROCHLOROTHIAZIDE, LISINOPRIL","FUROSEMIDE",2.62,"(2.22, 3.07)","4.44e-26",6619
"ROFECOXIB, ACETAMINOPHEN, HYDROCODONE","ACETAMINOPHEN",2.62,"(2.35, 2.91)","3.56e-58",10717
"POTASSIUM CHLORIDE, ACETYLSALICYLIC ACID, GABAPENTIN","ACETYLSALICYLIC ACID",2.62,"(2.22, 3.07)","1.90e-26",13865
"QUETIAPINE, ACETAMINOPHEN, CLONAZEPAM","QUETIAPINE",2.62,"(2.06, 3.29)","1.39e-13",2018
"OMEPRAZOLE, ACETYLSALICYLIC ACID, GABAPENTIN","OMEPRAZOLE",2.62,"(2.28, 3)","2.22e-35",6244
"MORPHINE, ONDANSETRON, ACETAMINOPHEN","MORPHINE",2.62,"(2.25, 3.03)","6.17e-32",2024
"ACETAMINOPHEN, ESOMEPRAZOLE, HYDROCODONE","ACETAMINOPHEN",2.62,"(2.39, 2.87)","1.29e-76",10717
"ACETAMINOPHEN, BUPROPION, ACETYLSALICYLIC ACID","ACETAMINOPHEN",2.62,"(2.16, 3.15)","6.96e-20",10717
"METFORMIN, SALBUTAMOL, FUROSEMIDE","METFORMIN",2.62,"(2.2, 3.1)","1.38e-23",4985
"POTASSIUM, ATORVASTATIN, FUROSEMIDE","FUROSEMIDE",2.62,"(2.2, 3.1)","1.48e-23",6619
"RANITIDINE, SIMVASTATIN, ACETYLSALICYLIC ACID","ACETYLSALICYLIC ACID",2.62,"(2.27, 3.01)","9.30e-34",13865
"OMEPRAZOLE, VITAMIN D, FUROSEMIDE","FUROSEMIDE",2.62,"(2.15, 3.16)","5.47e-19",6619
"METOCLOPRAMIDE, PROMETHAZINE, ACETAMINOPHEN","PROMETHAZINE",2.62,"(2.15, 3.16)","6.29e-20",1152
"FOLIC ACID, FUROSEMIDE, IRON","FUROSEMIDE",2.62,"(2.16, 3.15)","1.03e-19",6619
"MORPHINE, ACETAMINOPHEN, LEVOTHYROXINE","MORPHINE",2.62,"(2.15, 3.16)","2.48e-19",2024
"ATENOLOL, ACETAMINOPHEN, GABAPENTIN","GABAPENTIN",2.62,"(2.19, 3.1)","1.23e-23",4852
"SALBUTAMOL, ACETYLSALICYLIC ACID, ESOMEPRAZOLE","SALBUTAMOL",2.61,"(2.21, 3.08)","5.43e-25",3911
"METOPROLOL, PANTOPRAZOLE, WARFARIN","WARFARIN",2.61,"(2.19, 3.11)","1.61e-22",4188
"METOCLOPRAMIDE, PANTOPRAZOLE, FUROSEMIDE","PANTOPRAZOLE",2.61,"(2.17, 3.12)","1.38e-21",3314
"PANTOPRAZOLE, ACETAMINOPHEN, TRAMADOL","PANTOPRAZOLE",2.61,"(2.2, 3.09)","2.34e-24",3314
"OMEPRAZOLE, ACETAMINOPHEN, ALENDRONATE","OMEPRAZOLE",2.61,"(2.21, 3.08)","5.93e-25",6244
"LORAZEPAM, ACETAMINOPHEN, FLUTICASONE PROPIONATE","ACETAMINOPHEN",2.61,"(2.18, 3.11)","2.33e-22",10717
"METOPROLOL, ACETAMINOPHEN, LANSOPRAZOLE","LANSOPRAZOLE",2.61,"(2.19, 3.1)","1.75e-23",3261
"SIMVASTATIN, ACETYLSALICYLIC ACID, ALPRAZOLAM","ALPRAZOLAM",2.61,"(2.25, 3.02)","1.12e-31",3887
"ACETAMINOPHEN, DULOXETINE, ALPRAZOLAM","ACETAMINOPHEN",2.61,"(2.17, 3.13)","1.09e-20",10717
"ACETAMINOPHEN, DULOXETINE, LEVOTHYROXINE","DULOXETINE",2.61,"(2.12, 3.19)","2.36e-17",2135
"METOPROLOL, ACETAMINOPHEN, WARFARIN","WARFARIN",2.61,"(2.29, 2.96)","1.55e-40",4188
"ONDANSETRON, OXYCODONE, PROCHLORPERAZINE","ONDANSETRON",2.61,"(2.13, 3.17)","1.83e-18",1350
"ACETAMINOPHEN, DOCUSATE, HYDROCODONE","HYDROCODONE",2.61,"(2.23, 3.04)","8.38e-29",4590
"PANTOPRAZOLE, ACETYLSALICYLIC ACID, DIGOXIN","DIGOXIN",2.61,"(2.11, 3.21)","2.18e-16",1683
"METHOTREXATE, SALBUTAMOL, FOLIC ACID","METHOTREXATE",2.61,"(1.98, 3.39)","1.41e-10",2396
"LOSARTAN, ATORVASTATIN, FUROSEMIDE","FUROSEMIDE",2.61,"(2.17, 3.12)","4.53e-21",6619
"ACETAMINOPHEN, ESOMEPRAZOLE, FLUTICASONE PROPIONATE","ACETAMINOPHEN",2.61,"(2.21, 3.07)","1.28e-25",10717
"CYCLOPHOSPHAMIDE, DOCETAXEL, DOXORUBICIN","CYCLOPHOSPHAMIDE",2.61,"(2.04, 3.3)","8.14e-13",1047
"METHOTREXATE, ACETAMINOPHEN, LEVOTHYROXINE","METHOTREXATE",2.61,"(1.96, 3.42)","7.67e-10",2396
"SIMVASTATIN, ACETAMINOPHEN, CARVEDILOL","ACETAMINOPHEN",2.61,"(2.17, 3.12)","4.43e-21",10717
"AMOXICILLIN, POTASSIUM, ESOMEPRAZOLE","AMOXICILLIN",2.61,"(2.14, 3.17)","1.10e-18",1746
"SIMVASTATIN, ACETYLSALICYLIC ACID, ALLOPURINOL","ALLOPURINOL",2.61,"(2.28, 2.98)","5.72e-38",2362
"PREDNISONE, ACETYLSALICYLIC ACID, HYDROCODONE","HYDROCODONE",2.61,"(2.26, 3)","1.01e-33",4590
"SALBUTAMOL, ALENDRONATE, FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE",2.61,"(2.14, 3.16)","1.35e-18",3257
"AMOXICILLIN, ACETAMINOPHEN, HYDROCODONE","HYDROCODONE",2.61,"(2.32, 2.93)","1.97e-49",4590
"OMEPRAZOLE, ATORVASTATIN, WARFARIN","OMEPRAZOLE",2.61,"(2.16, 3.13)","4.68e-20",6244
"ACETAMINOPHEN, FLUOXETINE, HYDROCODONE","ACETAMINOPHEN",2.61,"(2.31, 2.93)","1.91e-46",10717
"LORAZEPAM, OXYCODONE, PROCHLORPERAZINE","PROCHLORPERAZINE",2.61,"(2.19, 3.09)","1.19e-24",1033
"ONDANSETRON, ACETAMINOPHEN, ENOXAPARIN","ENOXAPARIN",2.61,"(2.04, 3.29)","2.65e-13",938
"PANTOPRAZOLE, ATORVASTATIN, ACETAMINOPHEN","PANTOPRAZOLE",2.61,"(2.23, 3.04)","1.61e-28",3314
"AMOXICILLIN, OMEPRAZOLE, POTASSIUM","POTASSIUM",2.61,"(2.19, 3.09)","1.13e-23",2065
"ACETAMINOPHEN, ESCITALOPRAM, ALPRAZOLAM","ESCITALOPRAM",2.61,"(2.17, 3.11)","4.80e-22",2158
"OMEPRAZOLE, ONDANSETRON, DEXAMETHASONE","OMEPRAZOLE",2.61,"(2.2, 3.07)","2.72e-25",6244
"OXYCODONE, ACETAMINOPHEN, INSULIN GLARGINE","OXYCODONE",2.61,"(2.16, 3.13)","1.57e-20",4418
"PROMETHAZINE, ACETAMINOPHEN, ACETYLSALICYLIC ACID","ACETYLSALICYLIC ACID",2.61,"(2.21, 3.06)","5.42e-26",13865
"ACETAMINOPHEN, DEXTROMETHORPHAN, GUAIFENESIN","DEXTROMETHORPHAN",2.61,"(1.92, 3.56)","1.03e-10",199
"ACETAMINOPHEN, TRAZODONE, ACETYLSALICYLIC ACID","ACETAMINOPHEN",2.61,"(2.18, 3.1)","5.26e-22",10717
"PREDNISONE, ACETAMINOPHEN, IBUPROFEN","ACETAMINOPHEN",2.6,"(2.21, 3.05)","4.11e-26",10717
"PANTOPRAZOLE, ATORVASTATIN, ACETAMINOPHEN","ACETAMINOPHEN",2.6,"(2.23, 3.03)","4.93e-29",10717
"METOPROLOL, POTASSIUM CHLORIDE, SALBUTAMOL","SALBUTAMOL",2.6,"(2.17, 3.11)","3.04e-21",3911
"POTASSIUM, ACETAMINOPHEN, FUROSEMIDE","ACETAMINOPHEN",2.6,"(2.28, 2.96)","7.00e-39",10717
"ATORVASTATIN, TRAMADOL, ACETYLSALICYLIC ACID","ACETYLSALICYLIC ACID",2.6,"(2.18, 3.1)","1.88e-22",13865
"METFORMIN, ROSUVASTATIN, ACETYLSALICYLIC ACID","METFORMIN",2.6,"(2.23, 3.03)","3.29e-28",4985
"POTASSIUM CHLORIDE, ALPRAZOLAM, FUROSEMIDE","POTASSIUM CHLORIDE",2.6,"(2.26, 2.98)","4.87e-36",2515
"OMEPRAZOLE, DEXAMETHASONE, LENALIDOMIDE","DEXAMETHASONE",2.6,"(2.17, 3.1)","1.16e-21",2534
"POTASSIUM CHLORIDE, SULFAMETHOXAZOLE, TRIMETHOPRIM","TRIMETHOPRIM",2.6,"(2.15, 3.13)","1.35e-20",1614
"ACETYLSALICYLIC ACID, INSULIN GLARGINE, INSULIN LISPRO","INSULIN GLARGINE",2.6,"(2.16, 3.11)","3.88e-21",1579
"METOPROLOL, ONDANSETRON, ACETAMINOPHEN","ACETAMINOPHEN",2.6,"(2.2, 3.06)","9.52e-25",10717
"OXYCODONE, SALBUTAMOL, ACETAMINOPHEN","OXYCODONE",2.6,"(2.34, 2.89)","1.35e-60",4418
"OMEPRAZOLE, ACETAMINOPHEN, ADALIMUMAB","ADALIMUMAB",2.6,"(1.99, 3.35)","4.02e-11",2865
"ZOLPIDEM, ACETYLSALICYLIC ACID, GABAPENTIN","ACETYLSALICYLIC ACID",2.6,"(2.18, 3.08)","4.45e-23",13865
"ATENOLOL, ATORVASTATIN, AMLODIPINE","AMLODIPINE",2.6,"(2.24, 3.01)","6.70e-31",6244
"WARFARIN, ENOXAPARIN, FUROSEMIDE","FUROSEMIDE",2.6,"(2.13, 3.14)","7.60e-19",6619
"ACETAMINOPHEN, ZOLPIDEM, CLONAZEPAM","CLONAZEPAM",2.6,"(2.19, 3.06)","1.07e-24",3169
"ACETAMINOPHEN, TRIMETHOPRIM, HYDROCODONE","HYDROCODONE",2.6,"(2.25, 2.99)","1.75e-33",4590
"SALMETEROL, ACETAMINOPHEN, HYDROCODONE","SALMETEROL",2.6,"(2.25, 3)","9.00e-33",2396
"METFORMIN, ACETYLSALICYLIC ACID, ESOMEPRAZOLE","METFORMIN",2.6,"(2.18, 3.07)","2.44e-23",4985
"SALBUTAMOL, VITAMIN D, FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE",2.6,"(2.17, 3.1)","7.60e-22",3257
"ACETYLSALICYLIC ACID, FLUTICASONE PROPIONATE, IPRATROPIUM BROMIDE","IPRATROPIUM BROMIDE",2.6,"(2.18, 3.09)","4.28e-23",1215
"POTASSIUM CHLORIDE, ACETYLSALICYLIC ACID, FOLIC ACID","FOLIC ACID",2.6,"(2.11, 3.18)","6.50e-17",2656
"SIMVASTATIN, FUROSEMIDE, IRON","FUROSEMIDE",2.6,"(2.18, 3.08)","1.24e-22",6619
"WARFARIN, FENTANYL, FUROSEMIDE","FUROSEMIDE",2.6,"(2.15, 3.12)","6.00e-20",6619
"WARFARIN, CARVEDILOL, LISINOPRIL","WARFARIN",2.6,"(2.17, 3.09)","3.30e-22",4188
"SALBUTAMOL, WARFARIN, LEVOTHYROXINE","WARFARIN",2.6,"(2.12, 3.15)","5.56e-18",4188
"MORPHINE, ACETYLSALICYLIC ACID, FUROSEMIDE","MORPHINE",2.6,"(2.19, 3.06)","1.57e-24",2024
"PANTOPRAZOLE, PREDNISONE, ACETAMINOPHEN","ACETAMINOPHEN",2.59,"(2.27, 2.95)","7.83e-39",10717
"OMEPRAZOLE, PREDNISONE, FLUTICASONE PROPIONATE","PREDNISONE",2.59,"(2.13, 3.14)","1.03e-18",4984
"SIMVASTATIN, FUROSEMIDE, HYDROCODONE","FUROSEMIDE",2.59,"(2.21, 3.03)","7.46e-27",6619
"METOPROLOL, PREDNISONE, AMLODIPINE","METOPROLOL",2.59,"(2.23, 3.01)","2.98e-30",6198
"ATORVASTATIN, ACETYLSALICYLIC ACID, ALPRAZOLAM","ALPRAZOLAM",2.59,"(2.24, 3)","5.87e-32",3887
"METOPROLOL, PREDNISONE, LISINOPRIL","PREDNISONE",2.59,"(2.17, 3.08)","4.55e-22",4984
"SALBUTAMOL, FLUTICASONE PROPIONATE, HYDROCODONE","SALBUTAMOL",2.59,"(2.27, 2.96)","2.39e-37",3911
"PREDNISONE, ACETYLSALICYLIC ACID, DIGOXIN","DIGOXIN",2.59,"(2.08, 3.2)","1.47e-15",1683
"SALBUTAMOL, ACETYLSALICYLIC ACID, HYDROCODONE","ACETYLSALICYLIC ACID",2.59,"(2.27, 2.96)","8.59e-38",13865
"PANTOPRAZOLE, SALBUTAMOL, FUROSEMIDE","FUROSEMIDE",2.59,"(2.23, 3)","6.76e-30",6619
"OXYCODONE, ACETYLSALICYLIC ACID, LEVOTHYROXINE","OXYCODONE",2.59,"(2.15, 3.11)","1.25e-20",4418
"ATENOLOL, ATORVASTATIN, ACETAMINOPHEN","ACETAMINOPHEN",2.59,"(2.2, 3.03)","2.33e-26",10717
"SALBUTAMOL, ALENDRONATE, FLUTICASONE PROPIONATE","SALBUTAMOL",2.59,"(2.12, 3.14)","1.80e-18",3911
